"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Affiliations","Authors with affiliations","Abstract","Author Keywords","Index Keywords","Language of Original Document","Document Type","Publication Stage","Open Access","Source","EID"
"Souza E.G.; Barbosa J.C.","Souza, Elizabeth Gomes (57202754940); Barbosa, Jonei Cerqueira (39360974800)","57202754940; 39360974800","The learning of rules of school mathematics system in mathematical modelling; [A aprendizagem de regras do sistema matemático escolar na modelagem matemática]","2019","Revista Latinoamericana de Investigacion en Matematica Educativa","22","1","","39","66","27","0","10.12802/RELIME.19.2212","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85067593862&doi=10.12802%2fRELIME.19.2212&partnerID=40&md5=e805d4eb8ecbf0ddf8e6ddfb4816e8ca","Universidade Federal do Pará, Belém, Brazil; Universidade Federal da Bahia, Salvador, Brazil","Souza E.G., Universidade Federal do Pará, Belém, Brazil; Barbosa J.C., Universidade Federal da Bahia, Salvador, Brazil","This article aims to analyze of what mathematics learning is constituted in mathematical modelling from the understanding of modeling as an organization of empirical situations. This issue has been analyzed based on the understanding of mathematics as a normative rule governed system. This view of mathematics is based on Ludwing Wittgenstein’s analysis of philosophical delimitations as well as Anna Sfard’s theoretical understanding about it. The discourses produced by a group of students and a teacher during the implementation of the modelling have been adopted as empirical material for the analysis of the theme. These data have been collected through observation method. The uses that the students and the teacher attributed the words allowed us to point out that the discursive modeling game is played under the rules instituted in the mathematical way of life developed in the school context. © 2019, Comite Latinoamericano de Matematica Educativa. All rights reserved.","","","Portuguese","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85067593862"
"Gasco-Txabarri J.","Gasco-Txabarri, Javier (56592326600)","56592326600","Arithmetic - algebraic problem solving and learning strategies in maths. An study in secondary education; [La resolución de problemas aritmético - algebraicos y las estrategias de aprendizaje en matemáticas. Un estudio en educación secundaria obligatoria (ESO)]","2017","Revista Latinoamericana de Investigacion en Matematica Educativa","20","2","","167","192","25","0","10.12802/relime.17.2022","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85038124180&doi=10.12802%2frelime.17.2022&partnerID=40&md5=d0234746730be705346053d28feee8d0","Universidad del País Vasco, Euskal Herriko Unibertsitatea, Spain","Gasco-Txabarri J., Universidad del País Vasco, Euskal Herriko Unibertsitatea, Spain","One of the essential blocks of teaching and learning mathematics consists of word problems and their resolution; learning strategies encourage autonomy and can help make decisions in this mathematical task. This study aims to relate the way to solve problems with the use of these strategies. The research is done with students of secondary school 8th, 9th and 10th grade. Students are categorized into three groups: the group of algebraic resolution, mixed resolution and the group without defined profile. Learning strategies are measured by a questionnaire. The algebraic group outperforms mixed in various strategies, especially in those metacognitives. The group without defined profile uses less all strategies except rehearsal. © 2017 Comite Latinoamericano de Matematica Educativa. All rights reserved.","Learning strategies; Math education; Secondary education; Word problem","","Spanish","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85038124180"
"Gutiérrez-Fallas L.F.; Henriques A.","Gutiérrez-Fallas, Luis Fabián (57218904277); Henriques, Ana (55445762700)","57218904277; 55445762700","Prospective mathematics teachers’ tpack in a context of a teacher education experiment; [O tpack de futuros professores de matemática numa experiência de formação]","2020","Revista Latinoamericana de Investigacion en Matematica Educativa","23","2","","175","202","27","3","10.12802/relime.20.2322","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85090659940&doi=10.12802%2frelime.20.2322&partnerID=40&md5=9229f007881e81faac9e133e35494208","Instituto de Educação, Universidade de Lisboa, Portugal; Escuela de Matemática, Universidad de Costa Rica, Costa Rica","Gutiérrez-Fallas L.F., Instituto de Educação, Universidade de Lisboa, Portugal, Escuela de Matemática, Universidad de Costa Rica, Costa Rica; Henriques A., Instituto de Educação, Universidade de Lisboa, Portugal","TPACK conceptualizes the teacher professional knowledge for an effective integration of technology in education and so its development needs to be ensured in pre-service teacher education. This study analyzes the TPACK that prospective middle-school and secondary mathematics teachers, evidence in a teacher educat ion experi ment ai mi ng it s development regardi ng the cognitive components that characterizes it: conceptions, curriculum, learning and teaching. Following a Design-Based Research methodology, the results of the 1st cycle of experimentation show that the prospective teachers’ TPACK is a complex, dynamic and f lexible knowledge, consolidated through the articulation of multiple domains of the teacher professional knowledge. © 2020, Comite Latinoamericano de Matematica Educativa. All rights reserved.","Design-Based Research; Mathematics Pre-service Teacher Education; Mathematics Teacher Professional Knowledge; Technology; TPACK","","Portuguese","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85090659940"
"Arteaga P.; Batanero C.; Contreras J.M.; Cañadas G.","Arteaga, Pedro (54410144000); Batanero, Carmen (6508317702); Contreras, José Miguel (55200724900); Cañadas, Gustavo (34867936800)","54410144000; 6508317702; 55200724900; 34867936800","Assesing pre-service school teachers’ errors in building elementary statistical graphs; [Evaluación de errores en la construcción de gráficos estadísticos elementales por futuros profesores]","2016","Revista Latinoamericana de Investigacion en Matematica Educativa","19","1","","15","40","25","10","10.12802/RELIME.13.1911","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85045897711&doi=10.12802%2fRELIME.13.1911&partnerID=40&md5=55fa31f14dd9e75c96bbb896c88a0446","Universidad de Granada, Spain","Arteaga P., Universidad de Granada, Spain; Batanero C., Universidad de Granada, Spain; Contreras J.M., Universidad de Granada, Spain; Cañadas G., Universidad de Granada, Spain","In this paper we analyze the graphs produced by 207 pre-service primary school teachers when solving an open-ended task in which they should compare three pairs of distributions. The graphs produced are classified according whether they are correct or not, and according to the kind of error in case of an incorrect graph. The analysis allows us to explain some of these errors in terms of semiotic conflicts. Results suggest the semiotic conflicts are related to knowledge of conventions in building the graphs, selecting the graphs, number sense and conceptual misunderstanding. The influence of using computers on the errors produced is also analyzed. © 2016, Comite Latinoamericano de Matematica Educativa. All rights reserved.","Elementary statistical graphs; Errors in building graphs; Teachers’ training","","Spanish","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85045897711"
"Elia I.; Evangelou K.; Hadjittoouli K.; van den Heuvel-Panhuizen M.","Elia, Iliada (16174820000); Evangelou, Kyriacoulla (56042177200); Hadjittoouli, Katerina (57193255548); van den Heuvel-Panhuizen, Marja (6506504189)","16174820000; 56042177200; 57193255548; 6506504189","A kindergartner’s use of gestures when solving a geometrical problem in different spaces of constructed representation; [Utilización de gesticulaciones de un alumno de preescolar al resolver un problema geométrico en diferentes espacios de representación construida]","2014","Revista Latinoamericana de Investigacion en Matematica Educativa","17","4","","199","220","21","3","10.12802/relime.13.17410","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85012053648&doi=10.12802%2frelime.13.17410&partnerID=40&md5=2505e9371433ac12479c31260da29b78","Department of Education, University of Cyprus, Cyprus; Freudenthal Institute for Science and Mathematics Education, Faculty of Social and Behavioural Sciences, Utrecht University, Netherlands","Elia I., Department of Education, University of Cyprus, Cyprus; Evangelou K., Department of Education, University of Cyprus, Cyprus; Hadjittoouli K., Department of Education, University of Cyprus, Cyprus; van den Heuvel-Panhuizen M., Freudenthal Institute for Science and Mathematics Education, Faculty of Social and Behavioural Sciences, Utrecht University, Netherlands","This study investigates a kindergartner’s gestures, from a cognitive point of view, in a geometrical activity of communicative character. The activity involves a shape configuration problem in two different types of space of constructed representation (SCR), namely, on the computer and on paper. In this, we follow the cognitive analysis of geometrical thinking by Duval (1998) with a focus on the perceptual and the operative apprehension of geometrical figures. During the activity, the child had to give instructions to an experimenter, so that the latter could compose the figure on the computer screen using a specific mathematical applet, and on paper, respectively. The child was found to produce iconic and deictic gestures to a different extent in each SCR. Each type of gestures had a different cognitive function in solving the task. These findings provide insight into the personal geometric work space of a young child in carrying out a shape configuration task. © 2014, Comite Latinoamericano de Matematica Educativa. All rights reserved.","Geometrical figure apprehension; Geometrical work space; Gesture; Kindergarten; Shape configuration; Spaces of constructed representation","","English","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85012053648"
"Figueras O.; Flores P.; Pluvinage F.","Figueras, Olimpia (14067355700); Flores, Patricia (57084586300); Pluvinage, François (16496194100)","14067355700; 57084586300; 16496194100","The teacher as a mediator and the mathematical working spaces; [La mediatión docente y los espacios de trabajo matemático]","2014","Revista Latinoamericana de Investigacion en Matematica Educativa","17","4","","437","452","15","0","10.12802/relime.13.17422","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85012050259&doi=10.12802%2frelime.13.17422&partnerID=40&md5=962ffb6bec835c5ef304ca2a07b8bac1","Centro de Investigación y de Estudios Avanzados, Instituto Politécnico Nacional (Cinvestav-IPN), Mexico; Universidad Pedagógica Nacional, Mexico","Figueras O., Centro de Investigación y de Estudios Avanzados, Instituto Politécnico Nacional (Cinvestav-IPN), Mexico; Flores P., Universidad Pedagógica Nacional, Mexico; Pluvinage F., Centro de Investigación y de Estudios Avanzados, Instituto Politécnico Nacional (Cinvestav-IPN), Mexico","The teacher brings into play strategies to facilitate his students to learn mathematics. As a result of several approaches to mathematics classes taught of basic education teachers, in this article, five difficulties that the teacher confronts to mediate a significant audience between institutional and individual Mathematical Work Spaces are portrayed © 2014, Comite Latinoamericano de Matematica Educativa. All rights reserved.","Basic education; Mediation; MWS","","French","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85012050259"
"Xistouri X.; Pitta-Pantazi D.; Gagatsis A.","Xistouri, Xenia (42962732700); Pitta-Pantazi, Demetra (12752685600); Gagatsis, Athanasios (16174825600)","42962732700; 12752685600; 16174825600","Primary school students’ structure and levels of abilities in transformational geometry; [Estructura y niveles de habilidad en estudiantes de escuela primaria sobre geometría transformacional]","2014","Revista Latinoamericana de Investigacion en Matematica Educativa","17","4","","149","164","15","4","10.12802/relime.13.1747","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85012081834&doi=10.12802%2frelime.13.1747&partnerID=40&md5=08aeee68067feb4a1dfdc6d7d0117088","University of Cyprus, Cyprus","Xistouri X., University of Cyprus, Cyprus; Pitta-Pantazi D., University of Cyprus, Cyprus; Gagatsis A., University of Cyprus, Cyprus","This paper used CFA analyses to investigate the factors and structure of transformational geometry concepts ability. The results suggest that the three geometric transformations (translation, reflection and rotation) consist of four factors and have similar structures. RASCH analysis was used to create a scale of the factor items, which was interpreted in light of the theoretical framework of geometrical working space. Five levels of visualization abilities in transformational geometry were identified. This paper suggests that the development of understanding in transformational geometry can be explained based on the visualization process of the students’ personal geometrical working space. © 2014, Comite Latinoamericano de Matematica Educativa. All rights reserved.","Dimensional deconstruction; Geometrical working space; Transformational geometry; Visualization","","English","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85012081834"
"Parzysz B.","Parzysz, Bernard (36966372600)","36966372600","Working spaces in simulation of random experiments in high school: A case study; [Espaces de travail en simulation d’expérience aléatoire au lycée : Une étude de cas]","2014","Revista Latinoamericana de Investigacion en Matematica Educativa","17","4","","65","82","17","2","10.12802/relime.13.1743","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85012050771&doi=10.12802%2frelime.13.1743&partnerID=40&md5=388b5d4c3146d23517df7d54730e6174","Laboratoire de Didactique André Revuz, Université Paris-Diderot, Université d’Orléans, France","Parzysz B., Laboratoire de Didactique André Revuz, Université Paris-Diderot, Université d’Orléans, France","Today the teaching of probability relies considerably on the use of software, particularly when it comes to simulation of diverse random experiments. This article, which refers to the theoretical framework of Kuzniak’s mathematical working spaces, studies an emblematic type of tasks frequently proposed to the French students aged 16-17 years. To accomplish these tasks, spreadsheets are used alternately as random event generator, calculator and logical tool. For this reason, the student was provided with many “technical” indications on the use of the software. Simultaneously, he must elaborate a model of the experiment, then simulate it by means of the software, and to do it, he must explore through various probabilistic and statistic paradigms, and hence through many working spaces, but no explicit indication helping him to identify the right paradigm is offered. Additionally, the task verbalization is often ambiguous, which turns difficult to determine the paradigms on which he is supposed to act. © 2014, Comite Latinoamericano de Matematica Educativa. All rights reserved.","Mathematical working spaces; Modeling; Probability; Random experiment; Simulation; Spreadsheet","","French","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85012050771"
"Assis A.; Godino J.D.; Frade C.","Assis, Adriana (55330256700); Godino, Juan D. (8969497100); Frade, Cristina (14826364000)","55330256700; 8969497100; 14826364000","The normative and meta-normative dimensions in a context of exploratory-investigative classes; [As dimensões normativa e metanormativa em um contexto de aulas exploratório-investigativas]","2012","Revista Latinoamericana de Investigacion en Matematica Educativa","15","2","","171","198","27","7","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84864780611&partnerID=40&md5=9cc771403fc707cc2a44a5b00096373e","Universidade Federal de Minas Gerais, Belo Horizonte / MG, Brazil; Universidade de Granada, Spain","Assis A., Universidade Federal de Minas Gerais, Belo Horizonte / MG, Brazil; Godino J.D., Universidade de Granada, Spain; Frade C., Universidade Federal de Minas Gerais, Belo Horizonte / MG, Brazil","This paper explores the normative and meta-normative dimensions that regulate the interactions in mathematics classroom and shape the participation of teachers and students in a context of an exploratory-investigative task about patterns. This task was implemented in a 7th grade of a basic public school (approximately 12-years-old pupils). Norms and metanorms were identified using as theoretical tools two models of analysis designed to describe and to interpret the processes of interaction in the classroom. We conclude by highlighting the importance of the teacher becomes aware of the complex network of norms and meta-norms involved in mathematical and didactic practices, as an important resource for managing (negotiating or changing) them, at each moment of the activity, to ensure optimization of student learning.","Investigative class; Meta-norms; Norms; Onto-semiotic aproach; Patterns","","English","Article","Final","","Scopus","2-s2.0-84864780611"
"Leger P.; Gálvez G.; Inostroza M.; Cubillos L.; Luci G.; Tanter É.; Cosmelli D.; Soto-Andrade J.","Leger, Paul (36087550600); Gálvez, Grecia (46861075600); Inostroza, Milton (51663554300); Cubillos, Lino (51061105700); Luci, Gina (51061437700); Tanter, Éric (13104010300); Cosmelli, Diego (6602343550); Soto-Andrade, Jorge (6506649703)","36087550600; 46861075600; 51663554300; 51061105700; 51061437700; 13104010300; 6602343550; 6506649703","ECOCAM, a context sensitive computational system to promote mental calculation strategies: Design characteristics and preliminary results; [ECOCAM, un sistema computacional adaptable al contexto para promover estrategias de cálculo mental: Características de su diseño y resultados preliminares]","2014","Revista Latinoamericana de Investigacion en Matematica Educativa","17","1","","33","58","25","3","10.12802/relime.l3.1712","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84901988259&doi=10.12802%2frelime.l3.1712&partnerID=40&md5=6d3ee57ed90d11a5fd0cd78f89b972ba","Universidad Católica del Norte, Chile; Sociedad Educacional Compumat S.A, Chile; Universidad de Chile, Chile; Pontificia Universidad Católica de Valparaíso, Chile; Pontificia Universidad Católica de Chile, Chile","Leger P., Universidad Católica del Norte, Chile; Gálvez G., Sociedad Educacional Compumat S.A, Chile; Inostroza M., Universidad de Chile, Chile; Cubillos L., Pontificia Universidad Católica de Valparaíso, Chile; Luci G., Universidad de Chile, Chile; Tanter É., Universidad de Chile, Chile; Cosmelli D., Pontificia Universidad Católica de Chile, Chile; Soto-Andrade J., Universidad de Chile, Chile","Based on our previous work on cognitive strategies for mental calculation, we present the design of a context sensitive computational system called ECOCAM, which aims to promote strategies for mental calculation in primary school students. We carry out a first test of our proposal through a specific implementation of the ECOCAM for an addition strategy task, that is to say the ""transfer"" strategy, in a pilot experiment and study case with boys and girls from different grades in basic education. We discussed the results and its implications for a future development and implementation of the ECOCAM.","A context sensitive computational system; Cognitive strategies; Mental calculation; Metaphors; Response time","","English","Article","Final","","Scopus","2-s2.0-84901988259"
"García T.; Betts L.; González-Castro P.; González-Pienda J.A.; Rodríguez C.","García, Trinidad (56350340500); Betts, Lucy (16243984400); González-Castro, Paloma (15052057400); González-Pienda, Julio A. (6602173845); Rodríguez, Celestino (35113923600)","56350340500; 16243984400; 15052057400; 6602173845; 35113923600","On-line assessment of the process involved in maths problem-solving in fifth and sixth grade students: Self-regulation and achievement; [EvaluacióN on-line del proceso de resolución de problemas matemáticos en estudiantes de quinto y sexto curso: Auto-regulación y logro]","2016","Revista Latinoamericana de Investigacion en Matematica Educativa","19","2","","165","186","21","8","10.12802/relime.13.1922","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85002157856&doi=10.12802%2frelime.13.1922&partnerID=40&md5=e6c8790f9166c642cb51943fa6b4ce56","Universidad de Oviedo, Spain; Nottingham Trent University, United Kingdom","García T., Universidad de Oviedo, Spain; Betts L., Nottingham Trent University, United Kingdom; González-Castro P., Nottingham Trent University, United Kingdom; González-Pienda J.A., Nottingham Trent University, United Kingdom; Rodríguez C., Nottingham Trent University, United Kingdom","The aim of this study was to test a method to assess the processes involved in mathematical problem solving, based on the Triple Task methodology and Self-Regulated Learning principles. This protocol was administered to 510 fifth and sixth grade students from Northern Spain, who carried out two mathematical tasks of varying difficulty. The results derived from the total sample indicated the presence of ineffective planning strategies and a lack of revision mechanisms. However, comparisons between groups with different achievement in the tasks revealed the sub-processes involved in planning (especially the use of representation strategies) as important determining factors in students’ success rates, with these exerting a greater effect as task-difficulty increased. © 2016, Comite Latinoamericano de Matematica Educativa. All rights reserved.","Mathematics; Problem-solving; Process; Self-Regulated learning","","English","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85002157856"
"Viseu F.; Menezes L.","Viseu, Floriano (36619970100); Menezes, Luís (56457915100)","36619970100; 56457915100","Development of didactical knowledge of a future mathematics teacher of 7th to 9th grade: The confrontation with the classroom in the preparation and analysis of mathematical modeling tasks; [Desenvolvimento do conhecimento didÁtico de uma futura professora de matemÁtica do 3.º ciclo1: O confronto com a sala de aula na preparaÇÃo e anÁlise de tarefas de modelaÇÃo matemÁtica]","2014","Revista Latinoamericana de Investigacion en Matematica Educativa","17","3","","347","375","28","1","10.12802/relime.13.1734","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84919633898&doi=10.12802%2frelime.13.1734&partnerID=40&md5=0f2dae325e0893f8e92a7f30f694cdbd","Centro de Investigação em Educação-Universidade do Minho, Portugal; CI and DETS-Escola Superior de Educação de Viseu, Portugal","Viseu F., Centro de Investigação em Educação-Universidade do Minho, Portugal; Menezes L., CI and DETS-Escola Superior de Educação de Viseu, Portugal","This article discusses how a preservice teacher of mathematics develops and mobilizes their didactical knowledge, in the matter of mathematical content and of instructional knowledge, in the preparation and analysis of tasks of mathematical modeling, using technology. The work took place at the end of their initial education when they make their internship. It is an interpretive study in the form of a qualitative case study that shows that the performance of tasks of mathematical modeling and the thinking about it, using technology, during the internship it is an opportunity for professional development of the preservice teacher, both the level of their knowledge of the mathematical content, enabling knowledge worker during their initial training, as their instructional knowledge. At this level, the modeling task allowed the future teacher to understand that beyond the transmissive model, there are other models of teaching in an exploratory nature, in which the teacher proposes mathematical open tasks with a higher degree of difficulty, involving students in mathematical intense activity which may result in significant mathematics learning. © 2014 Comite Latinoamericano de Matematica Educativa. All rights reserved.","Didactical knowledge; Mathematical modeling tasks; Preservice mathematics teacher education","","Portuguese","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-84919633898"
"Albanese V.; Perales F.J.","Albanese, Veronica (55849834800); Perales, Francisco Javier (57220064425)","55849834800; 57220064425","Thinking mathematically: An ethnomathematics view of the art and crafts practice of SoguerÍa; [Pensar matemÁticamente: Una visiÓn etnomatemÁtica de la prÁctica artesanal soguera]","2014","Revista Latinoamericana de Investigacion en Matematica Educativa","17","3","","261","288","27","10","10.12802/relime.13.1731","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84919688097&doi=10.12802%2frelime.13.1731&partnerID=40&md5=fe18ef45c743934558e96f153f450ce9","Universidad de Granada, Spain","Albanese V., Universidad de Granada, Spain; Perales F.J., Universidad de Granada, Spain","This research shows the study of ways of thinking mathematically that a craft guild (the artisan of leather rope work in Buenos Aires) has developed to organize and carry out his practice. A review of literature on thinking, mathematics and culture allows us to set the theoretical foundations of the work and its roots in the ethnomathematics program. Since the interest is from the point of view of the artisans, ethnographic research is done. From the analysis of the representations of practice expressed by the artisans, mathematical thinking emerges from the same structured in the ethnomodels. © 2014 Comite Latinoamericano de Matematica Educativa. All rights reserved.","-Mathematical thinking; Art and crafts; Ethnography; Ethnomathematics; Ethnomodels","","Spanish","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-84919688097"
"Sierra G.M.","Sierra, Gustavo Martínez (37108780000)","37108780000","Perceptions and school mathematics: Units of measurements for trigonometrical functions at high school level; [Concepciones y matemática escolar: Unidades de medida de las funciones trigonométricas en el nivel medio superior]","2012","Revista Latinoamericana de Investigacion en Matematica Educativa","15","1","","35","62","27","1","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84860343277&partnerID=40&md5=4d81fbd0411272e29f7936f250351d64","Centro de Investigación en Ciencia Aplicada y Tecnología Avanzada del IPN, Mexico","Sierra G.M., Centro de Investigación en Ciencia Aplicada y Tecnología Avanzada del IPN, Mexico","This article presents a didactic-cognitive analysis of the unit of measurement that contains the argument of the trigonometrical functions at Mexican high school level. The didactic study demonstrates the phenomenon of dethematization in the radian, understood as the articulator concept, while the cognitive study offers elements for understanding the perceptions of teachers and students in relation to the angular units of trigonometric functions in school mathematics. In turn, the analysis of questionnaires applied to students and teachers indicate: 1) the improper use of calculators or other calculation systems and the tendency of teachers to focus on significant values; 2) that students do not perceive that the use of the calculator for trigonometric functions is mediated by at least two methods of calculation: the sexagesimal and the radian.","Mathematical articulation and convention; Perceptions; Radian; School mathematics; Trigonometric functions","","Spanish","Article","Final","","Scopus","2-s2.0-84860343277"
"Vega-Castro D.; Molina M.; Castro E.","Vega-Castro, Danellys (55330266200); Molina, Marta (33867656700); Castro, Encarnación (33867472100)","55330266200; 33867656700; 33867472100","High school students' structural sense in the context of simplification of algebraic fractions that involve notable equations; [Sentido estructural de estudiantes de bachillerato en tareas de simplificación de fracciones algebraicas que involucran igualdades notables]","2012","Revista Latinoamericana de Investigacion en Matematica Educativa","15","2","","233","258","25","6","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84864763799&partnerID=40&md5=c59a450bda06d4be460cbc79956b2868","Universidad de Granada, Spain","Vega-Castro D., Universidad de Granada, Spain; Molina M., Universidad de Granada, Spain; Castro E., Universidad de Granada, Spain","This article analyzes the structural sense that high school students (16 to 18 years old) demonstrate when working with simple and complex algebraic expressions, in the context of simplification of algebraic fractions that involve notable equations: square of the sum, square of the difference, difference of squares and distributive property or common factor. A written test prepared for this purpose detects a wide spectrum of levels of structural sense. These levels reveal the relevance of students' knowledge of notable equations. The analysis carried out allows us to make progress in understanding the construct structural sense by identifying some of its component skills and its role in the proposed tasks.","Algebraic expressions; Notable equations; Simplification; Strategies; Structural sense","","English","Article","Final","","Scopus","2-s2.0-84864763799"
"Cantoral R.; Garnica V.","Cantoral, Ricardo (56000894900); Garnica, Vicente (55505845500)","56000894900; 55505845500","2012, New year: Relime - bolema; [2012, Año nuevo: Relime - bolema]","2012","Revista Latinoamericana de Investigacion en Matematica Educativa","15","3","","269","272","3","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84870277050&partnerID=40&md5=ebc4a9a27be7498a4f6d600b59b4137f","","","[No abstract available]","","","English","Editorial","Final","","Scopus","2-s2.0-84870277050"
"Dias C.; Santos L.","Dias, Célia (57192249315); Santos, Leonor (37007000000)","57192249315; 37007000000","Reflective portfolio of mathematics as a tool for self-regulation of learning for high school students; [Portefólio reflexivo de matemática enquanto instrumento de autorregulação das aprendizagens de alunos do ensino secundário]","2016","Revista Latinoamericana de Investigacion en Matematica Educativa","19","2","","187","216","29","1","10.12802/relime.13.1923","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85002253418&doi=10.12802%2frelime.13.1923&partnerID=40&md5=6c2b77e1be12de4cf01c217b255176d4","Instituto de Educação, Universidade de Lisboa, Portugal","Dias C., Instituto de Educação, Universidade de Lisboa, Portugal; Santos L., Instituto de Educação, Universidade de Lisboa, Portugal","This study aims to analyze various aspects of mathematical learning of high school students mediated by a device of assessment for learning. Specifically, we have studied the processes used by three students whilst developing a mathematics portfolio, during which the majority of decisions were taken by them. During the elaboration of the portfolio, cognitive and metacognitive aspects of mathematical thinking were identified. The portfolio is an effective and practical way to create a pedagogical differentiation and to provide, in an ongoing and systematic way, the development of metacognitive processes that enable the development of a self-regulated learning. © 2016, Comite Latinoamericano de Matematica Educativa. All rights reserved.","Assessment for learning; Mathematics learning; Metacognitive processes; Portfolio; Self-assessment","","Portuguese","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85002253418"
"Tanguay D.; Geeraerts L.","Tanguay, Denis (55935075900); Geeraerts, Loïc (24491864600)","55935075900; 24491864600","Conjectures, postulates and experimental verifications in the geometer-physicist paradigm : How can the work with DGSs be integrated ?; [Conjectures, postulats et vérifications expérimentales dans le paradigme du géomètre-physicien : Comment intégrer le travail avec les LGD ?]","2014","Revista Latinoamericana de Investigacion en Matematica Educativa","17","4","","287","302","15","2","10.12802/relime.13.17414","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85012070667&doi=10.12802%2frelime.13.17414&partnerID=40&md5=e18ab75da02c9cabaca82f08bfc39039","Université du Québec à Montréal (UQAM), Canada","Tanguay D., Université du Québec à Montréal (UQAM), Canada; Geeraerts L., Université du Québec à Montréal (UQAM), Canada","Inspired by the work of Jahnke, we considered in Tanguay & Geeraerts (2012) the geometer-physicist paradigm, and expounded how it can be used to promote classroom practices and activities allowing a more harmonious transition between GI and GII (Houdement & Kuzniak, 2006), especially by reconsidering the status of the axioms and the role of measurement. A concrete plan of action is presented, by virtue of, among others, a structured system of study cards made by the class; all this integrated in a working space customized for the démonstration. The way measurement is rehabilitated as a validating process allows a reassessment of truth stakes so that the issues of measurement reliability, of exactness versus approximation, of theory versus empiricism are explicitly taken into account and ‘problematized’. We examine in what way this issue can be fully taken into consideration by the class. We propose that the problem of graphical precision linked to the exactness of measurement provided by DGSs should be explicitly tackled. © 2014, Comite Latinoamericano de Matematica Educativa. All rights reserved.","Dynamic geometry softwarepackages; Exact and approximate measurements; Formal proof; Geometer-physicist paradigm","","French","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85012070667"
"Cantoral R.","Cantoral, Ricardo (56000894900)","56000894900","Achilles' heel; [El talón de Aquiles]","2013","Revista Latinoamericana de Investigacion en Matematica Educativa","16","3","","287","288","1","0","10.12802/relime.13.1630","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84888393437&doi=10.12802%2frelime.13.1630&partnerID=40&md5=eb695fc695cb18a54b9ff780146eeae2","","","[No abstract available]","","","English","Editorial","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-84888393437"
"Sanhueza S.; Penalva M.C.; Friz M.","Sanhueza, Susan (55659982900); Penalva, María Carmen (36988128600); Friz, Miguel (56469742500)","55659982900; 36988128600; 56469742500","Identities and competences of kindergarten teachers students for the teaching of geometry; [Identidades y competencias profesionales de estudiantes para maestro de educación infantil relativas a la enseñanza de la geometría]","2013","Revista Latinoamericana de Investigacion en Matematica Educativa","16","1","","99","125","26","6","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84876513107&partnerID=40&md5=d690f951857a2a855790176dc3cb49c3","Universidad Católica del Maule, Chile; Universidad de Alicante, Spain; Universidad del Bío-Bío, Chile","Sanhueza S., Universidad Católica del Maule, Chile; Penalva M.C., Universidad de Alicante, Spain; Friz M., Universidad del Bío-Bío, Chile","The purpose of this study is the research of identities and valorizations of professional and math competences involved in scholar geometry teaching with a sample of sixty - two pupilteachers for kindergarten. Tasks were designed for the students to think about their teaching and their learning geometry experiences, and questionnaires were made to valorize their professional competences, which they find important for their career development. The results apparently show that students reconstruct their identities from professionals competences, which could be explained by the methods of instruction used during the course. These methods encompass team work and the reflection on geometry learning tasks that involve technology.","Geometry teaching; Identity; Kindergarten teaching programs; Professional competence","","English","Article","Final","","Scopus","2-s2.0-84876513107"
